name,age,net_worth_million_usd,industry,industries,country,self_made,gender
Jon Yarbrough,68.0,5444.38,Gambling & Casinos,Gambling & Casinos,United States,True,M
Joseph Grendys,64.0,5443.64,Food & Beverage,Food & Beverage,United States,True,M
Ken Xie & family,63.0,5437.4,Technology,Technology,United States,True,M
Jeremy Jacobs Sr & family,86.0,5430.38,Service,Service,United States,False,M
Dinara Kulibayeva,58.0,5428.59,Finance & Investments,Finance & Investments,Kazakhstan,False,F
Timur Kulibayev,59.0,5428.59,Finance & Investments,Finance & Investments,Kazakhstan,True,M
Forrest Li,48.0,5406.38,Media & Entertainment,Media & Entertainment,Singapore,True,M
Russell Savage,55.0,5405.0,Food & Beverage,Food & Beverage,United States,True,M
Bulat Utemuratov,68.0,5398.0,Metals & Mining,Metals & Mining,Kazakhstan,True,M
Lin Shu-hong,97.0,5397.71,Manufacturing,Manufacturing,Taiwan,True,M
Lynda Resnick,83.0,5393.5,Food & Beverage,Food & Beverage,United States,True,F
Stewart Resnick,89.0,5393.5,Food & Beverage,Food & Beverage,United States,True,M
Xiao Yongming & family,61.0,5383.37,Diversified,Diversified,China,True,M
Hortensia Herrero,75.0,5382.3,Fashion & Retail,Fashion & Retail,Spain,False,F
Jeff Skoll,61.0,5380.48,Technology,Technology,United States,True,M
Mario Verrocchi,68.0,5367.86,Fashion & Retail,Fashion & Retail,Australia,True,M
Ivan Tavrin,49.0,5363.86,Finance & Investments,Finance & Investments,Russia,True,M
Matthew Prince,51.0,5356.16,Technology,Technology,United States,True,M
Torbjorn Tornqvist,72.0,5354.7,Energy,Energy,Sweden,True,M
Reinhold Schmieding,71.0,5352.09,Healthcare,Healthcare,United States,True,M
Alejandro Bulgheroni,81.0,5348.16,Energy,Energy,Argentina,False,M
Peter Spuhler,66.0,5341.99,Manufacturing,Manufacturing,Switzerland,True,M
George Economou,73.0,5331.23,Logistics,Logistics,Greece,True,M
Thomas Tull,55.0,5314.5,Media & Entertainment,Media & Entertainment,United States,True,M
Jean (Gigi) Pritzker,63.0,5303.3,Service,Service,United States,False,F
Arkady Rotenberg,74.0,5290.53,Construction & Engineering,Construction & Engineering,Russia,True,M
Rajiv Bajaj,59.0,5290.3,Diversified,Diversified,India,False,M
Sanjiv Bajaj,56.0,5290.3,Diversified,Diversified,India,False,M
Catherine Commisso & family,68.0,5287.14,Telecom,Telecom,United States,False,F
Ian Livingstone,63.0,5265.2,Real Estate,Real Estate,United Kingdom,True,M
Richard Livingstone,61.0,5265.2,Real Estate,Real Estate,United Kingdom,True,M
Jiang Rensheng & family,72.0,5256.45,Healthcare,Healthcare,China,True,M
Murat Ulker,67.0,5254.7,Food & Beverage,Food & Beverage,Turkey,False,M
Jamshyd Godrej,77.0,5240.08,Real Estate,Real Estate,India,False,M
Smita Crishna Godrej,75.0,5240.07,Diversified,Diversified,India,False,F
Chairul Tanjung,63.0,5229.07,Diversified,Diversified,Indonesia,True,M
Jon Stryker,67.0,5218.01,Healthcare,Healthcare,United States,False,M
Josh Kushner,40.0,5213.0,Finance & Investments,Finance & Investments,United States,True,M
Andrei Kozitsyn,65.0,5209.93,Metals & Mining,Metals & Mining,Russia,True,M
Chandru Raheja,85.0,5191.69,Real Estate,Real Estate,India,False,M
Isaac Perlmutter,83.0,5182.95,Media & Entertainment,Media & Entertainment,United States,True,M
Shaul Shani,71.0,5182.16,Telecom,Telecom,Israel,True,M
Saban Cemil Kazanci,65.0,5181.77,Energy,Energy,Turkey,False,M
Joao Moreira Salles,64.0,5170.52,Diversified,Diversified,Brazil,False,M
Walther Moreira Salles Junior,70.0,5170.52,Finance & Investments,Finance & Investments,Brazil,False,M
Barry Diller,84.0,5151.45,Media & Entertainment,Media & Entertainment,United States,True,M
Pyotr Aven,71.0,5131.1,Finance & Investments,Finance & Investments,Russia,True,M
Takao Yasuda,76.0,5121.57,Fashion & Retail,Fashion & Retail,Japan,True,M
Ruan Xueping,54.0,5112.4,Manufacturing,Manufacturing,Hong Kong,True,M
Jeffrey Cheah,81.0,5110.7,Real Estate,Real Estate,Malaysia,True,M
Joy Alukkas,69.0,5104.12,Fashion & Retail,Fashion & Retail,India,False,M
God Nisanov,54.0,5103.55,Real Estate,Real Estate,Russia,True,M
Zarakh Iliev,59.0,5103.55,Real Estate,Real Estate,Russia,True,M
Haryanto Tjiptodihardjo,62.0,5094.26,Manufacturing,Manufacturing,Indonesia,False,M
Mangal Prabhat Lodha,70.0,5092.63,Real Estate,Real Estate,India,True,M
George Lucas,81.0,5088.56,Media & Entertainment,Media & Entertainment,United States,True,M
Martin Haefner,72.0,5086.97,Technology,Technology,Switzerland,False,M
Fernand Huts,75.0,5081.8,Logistics,Logistics,Belgium,True,M
Frank Wang,45.0,5076.0,Technology,Technology,China,True,M
Tim Sweeney,55.0,5076.0,Media & Entertainment,Media & Entertainment,United States,True,M
Ruan Liping,61.0,5065.02,Manufacturing,Manufacturing,Hong Kong,True,M
Jose Joao Abdalla Filho,80.0,5057.12,Finance & Investments,Finance & Investments,Brazil,False,M
Gaye Farncombe,74.0,5055.54,Media & Entertainment,Media & Entertainment,Canada,False,F
Linda Campbell,76.0,5055.54,Media & Entertainment,Media & Entertainment,Canada,False,F
Jorge Mas,63.0,5053.86,Construction & Engineering,Construction & Engineering,United States,False,M
Lin Lairong & family,57.0,5038.65,Metals & Mining,Metals & Mining,China,True,M
Robert Faith,62.0,5035.36,Real Estate,Real Estate,United States,True,M
Dan Kurzius,54.0,5034.38,Technology,Technology,United States,True,M
Ion Stoica,61.0,5031.0,Technology,Technology,Romania,True,M
Matei Zaharia,41.0,5031.0,Technology,Technology,Romania,True,M
Lachhman Das Mittal,95.0,5030.05,Automotive,Automotive,India,False,M
Nicolas D'Ieteren,51.0,5019.46,Automotive,Automotive,Belgium,False,M
Thomas Hagen & family,90.0,5002.28,Finance & Investments,Finance & Investments,United States,False,M
Scott Cook,73.0,4978.22,Technology,Technology,United States,True,M
Stephen Feinberg,66.0,4976.0,Finance & Investments,Finance & Investments,United States,True,M
Mike Brown & family,90.0,4969.7,Sports,Sports,United States,False,M
Arturo Moreno,79.0,4965.46,Sports,Sports,United States,True,M
Park Hyeon-joo,67.0,4964.49,Finance & Investments,Finance & Investments,South Korea,True,M
Cho Tak Wong,79.0,4964.0,Manufacturing,Manufacturing,Hong Kong,True,M
Stephen Mandel Jr,70.0,4963.0,Finance & Investments,Finance & Investments,United States,True,M
Lorinc Meszaros,60.0,4957.2,Diversified,Diversified,Hungary,True,M
Vikas Oberoi,55.0,4954.04,Real Estate,Real Estate,India,False,M
Andrew Karam,44.0,4944.77,Technology,Technology,United States,True,M
Tsai Ming-kai,76.0,4939.72,Technology,Technology,Taiwan,True,M
Shen Guojun,63.0,4935.39,Fashion & Retail,Fashion & Retail,China,True,M
Ryan Cohen,40.0,4933.33,Finance & Investments,Finance & Investments,Canada,True,M
Peter Cancro,68.0,4928.52,Food & Beverage,Food & Beverage,United States,True,M
Chen Weiliang,49.0,4925.12,Manufacturing,Manufacturing,China,True,M
Georg Nemetschek & family,92.0,4912.09,Technology,Technology,Germany,True,M
Igor Altushkin,55.0,4904.33,Metals & Mining,Metals & Mining,Russia,True,M
Scott Crabill,56.0,4893.02,Finance & Investments,Finance & Investments,United States,True,M
Holden Spaht,51.0,4888.47,Finance & Investments,Finance & Investments,United States,True,M
Igor Kesaev,59.0,4887.39,Fashion & Retail,Fashion & Retail,Russia,True,M
Hamad bin Jassim bin Jaber Al Thani,66.0,4885.32,Finance & Investments,Finance & Investments,Qatar,False,M
Steven Klinsky,69.0,4884.0,Finance & Investments,Finance & Investments,United States,True,M
Lin Tsung-Chi,85.0,4877.95,Manufacturing,Manufacturing,Taiwan,True,M
Arkady Volozh,62.0,4870.73,Technology,Technology,Israel,True,M
Anil Agarwal & family,72.0,4868.04,Metals & Mining,Metals & Mining,India,True,M
Seth Boro,50.0,4865.2,Finance & Investments,Finance & Investments,United States,True,M
Zhu Yan & family,55.0,4864.55,Real Estate,Real Estate,China,False,F
Nithin Kamath,46.0,4863.24,Finance & Investments,Finance & Investments,India,True,M
Eren Ozmen,67.0,4856.77,Manufacturing,Manufacturing,United States,True,F
Andrei Bokarev,59.0,4851.48,Manufacturing,Manufacturing,Russia,True,M
Ronald Lauder,82.0,4847.66,Fashion & Retail,Fashion & Retail,United States,False,M
Jiang Weiping & family,71.0,4846.61,Manufacturing,Manufacturing,China,True,M
Markus Blocher,55.0,4844.04,Manufacturing,Manufacturing,Switzerland,False,M
Eduardo Hochschild,62.0,4827.09,Metals & Mining,Metals & Mining,Peru,False,M
Eric Yuan & family,56.0,4826.85,Technology,Technology,United States,True,M
John Catsimatidis,77.0,4819.0,Energy,Energy,United States,True,M
Thomas Straumann,62.0,4800.61,Healthcare,Healthcare,Switzerland,False,M
Gail Miller & family,82.0,4796.85,Automotive,Automotive,United States,True,F
Kevin David Lehmann,23.0,4786.18,Fashion & Retail,Fashion & Retail,Germany,False,M
Garrett Camp,47.0,4784.23,Technology,Technology,Canada,True,M
Qiu Jianping & family,64.0,4757.87,Manufacturing,Manufacturing,China,True,M
Henning Oldendorff,68.0,4753.0,Logistics,Logistics,Germany,False,M
Tomasz Biernacki,53.0,4752.28,Fashion & Retail,Fashion & Retail,Poland,True,M
Hans Peter Wild,84.0,4749.66,Food & Beverage,Food & Beverage,Switzerland,False,M
Xu Jinfu & family,62.0,4748.97,Manufacturing,Manufacturing,China,True,M
N. Murray Edwards,66.0,4744.04,Energy,Energy,Canada,True,M
Daniel D'Aniello,79.0,4737.53,Finance & Investments,Finance & Investments,United States,True,M
Gao Guangrong,56.0,4735.35,Technology,Technology,China,True,M
Dan Snyder,61.0,4726.31,Sports,Sports,United States,True,M
Egor Kulkov,54.0,4710.98,Healthcare,Healthcare,Russia,True,M
Lee Yeow Chor,59.0,4709.03,Real Estate,Real Estate,Malaysia,False,M
George Bishop,88.0,4701.1,Energy,Energy,United States,True,M
Ye Chenghai & family,82.0,4696.18,Healthcare,Healthcare,Hong Kong,True,M
Julia Thiele-Schuerhoff & family,54.0,4692.18,Manufacturing,Manufacturing,Germany,False,F
Erwin Franz Mueller,93.0,4691.52,Fashion & Retail,Fashion & Retail,Germany,True,M
Abdulla Al Futtaim & family,86.0,4689.91,Automotive,Automotive,United Arab Emirates,False,M
Drayton McLane Jr,89.0,4683.92,Fashion & Retail,Fashion & Retail,United States,False,M
Nikolai Buinov,58.0,4680.73,Energy,Energy,Russia,True,M
Wendy Abrams,61.0,4680.24,Healthcare,Healthcare,United States,False,F
Hansjoerg Wyss,91.0,4679.97,Healthcare,Healthcare,Switzerland,True,M
Walter Frey,82.0,4676.79,Automotive,Automotive,Switzerland,False,M
Theodore Rachmat,82.0,4676.72,Diversified,Diversified,Indonesia,False,M
George Prokopiou & family,79.0,4675.24,Logistics,Logistics,Greece,True,M
Fatih Ozmen,68.0,4667.33,Manufacturing,Manufacturing,United States,True,M
Liang Zhaoxian,63.0,4664.03,Manufacturing,Manufacturing,China,False,M
Jennifer Gilbert,57.0,4663.72,Finance & Investments,Finance & Investments,United States,False,F
Stephen Cohen,43.0,4651.28,Technology,Technology,United States,True,M
Dagmar Dolby & family,84.0,4646.35,Technology,Technology,United States,False,F
Steven Udvar-Hazy,80.0,4629.73,Service,Service,United States,True,M
Wang Yanqing,60.0,4625.87,Manufacturing,Manufacturing,China,True,M
Baba Kalyani,77.0,4615.26,Automotive,Automotive,India,False,M
Michael Xie,57.0,4609.91,Technology,Technology,United States,True,M
Xiang Guangda,68.0,4605.56,Metals & Mining,Metals & Mining,China,True,M
Tom Golisano,84.0,4602.26,Service,Service,United States,True,M
Michael Pieper,80.0,4598.69,Manufacturing,Manufacturing,Switzerland,True,M
Eduardo Eurnekian,93.0,4597.94,Diversified,Diversified,Argentina,True,M
Xia Zuoquan,64.0,4597.44,Automotive,Automotive,China,True,M
John Gandel,91.0,4594.83,Real Estate,Real Estate,Australia,False,M
Scott Kapnick,67.0,4588.93,Finance & Investments,Finance & Investments,United States,True,M
Marc Ladreit de Lacharriere,85.0,4587.52,Finance & Investments,Finance & Investments,France,True,M
Li Chunan,57.0,4584.79,Manufacturing,Manufacturing,China,True,M
Andrej Babis,71.0,4581.9,Food & Beverage,Food & Beverage,Czech Republic,True,M
Joe Mansueto,69.0,4573.63,Finance & Investments,Finance & Investments,United States,True,M
Anne Beaufour,62.0,4571.85,Healthcare,Healthcare,France,False,F
Akira Mori & family,89.0,4563.85,Real Estate,Real Estate,Japan,False,M
David Filo,60.0,4559.43,Technology,Technology,United States,True,M
Eleanor Butt Crook & family,93.0,4558.6,Fashion & Retail,Fashion & Retail,United States,False,F
Abhay Firodia,81.0,4550.6,Automotive,Automotive,India,False,M
Eric Lefkofsky,56.0,4542.28,Technology,Technology,United States,True,M
Carlos Hank Rhon & family,78.0,4540.24,Diversified,Diversified,Mexico,False,M
Helen Johnson-Leipold,69.0,4534.55,Manufacturing,Manufacturing,United States,False,F
Laurence Graff & family,87.0,4529.0,Fashion & Retail,Fashion & Retail,United Kingdom,True,M
Friede Springer,83.0,4527.93,Media & Entertainment,Media & Entertainment,Germany,False,F
Rupert Johnson Jr,85.0,4519.26,Finance & Investments,Finance & Investments,United States,False,M
Maria-Elisabeth Schaeffler-Thumann,84.0,4511.69,Automotive,Automotive,Germany,False,F
Ben Chestnut,51.0,4504.89,Technology,Technology,United States,True,M
Somurai Jaruphnit,72.0,4500.8,Diversified,Diversified,Thailand,False,F
Beatriz Davila de Santo Domingo,87.0,4499.05,Food & Beverage,Food & Beverage,Colombia,False,F
Fabien Pinckaers,47.0,4498.72,Technology,Technology,Belgium,True,M
Yu Renrong,60.0,4473.2,Manufacturing,Manufacturing,China,True,M
James Duff,65.0,4472.2,Diversified,Diversified,United States,True,M
Li Xiang,44.0,4460.37,Automotive,Automotive,China,True,M
Li Min,60.0,4455.26,Technology,Technology,China,True,M
Thomas Duff,69.0,4454.6,Diversified,Diversified,United States,True,M
Carlo Fidani,71.0,4452.8,Real Estate,Real Estate,Canada,False,M
Lynn Schusterman & family,87.0,4448.82,Energy,Energy,United States,False,F
Bernard Fraisse & family,69.0,4442.71,Healthcare,Healthcare,France,True,M
Jason Jiang,53.0,4437.14,Media & Entertainment,Media & Entertainment,Singapore,True,M
Rajiv Jain,58.0,4429.68,Finance & Investments,Finance & Investments,United States,True,M
Anthony Pritzker,65.0,4426.23,Service,Service,United States,False,M
Antti Herlin,69.0,4423.12,Manufacturing,Manufacturing,Finland,False,M
Andreas Martinos & family,70.0,4422.96,Logistics,Logistics,Greece,True,M
Winifred J. Marquart,67.0,4420.08,Manufacturing,Manufacturing,United States,False,F
Albert Chao & family,76.0,4419.08,Manufacturing,Manufacturing,United States,True,M
Dorothy Chao Jenkins & family,80.0,4419.08,Manufacturing,Manufacturing,United States,False,F
James Chao & family,78.0,4419.08,Manufacturing,Manufacturing,United States,True,M
H. Fisk Johnson,67.0,4409.3,Manufacturing,Manufacturing,United States,False,M
Anna Katharina Viessmann,40.0,4407.7,Manufacturing,Manufacturing,Germany,False,F
Miao Hangen,60.0,4400.74,Diversified,Diversified,China,True,M
S. Curtis Johnson,70.0,4395.27,Manufacturing,Manufacturing,United States,False,M
Aristotelis Mistakidis,64.0,4391.27,Metals & Mining,Metals & Mining,Greece,True,M
Paul Foster,68.0,4387.44,Energy,Energy,United States,True,M
Erik Selin,58.0,4371.84,Real Estate,Real Estate,Sweden,True,M
Donald Sterling,92.0,4367.52,Real Estate,Real Estate,United States,True,M
Nancy Mills Barnett,62.0,4365.3,Healthcare,Healthcare,United States,False,F
Zhang Jianzhong,60.0,4361.74,Manufacturing,Manufacturing,China,True,M
Pansy Ho,63.0,4338.27,Gambling & Casinos,Gambling & Casinos,Hong Kong,False,F
Wang Jianlin,71.0,4337.77,Real Estate,Real Estate,China,True,M
Byron Trott,67.0,4337.0,Finance & Investments,Finance & Investments,United States,True,M
Angela Bennett,82.0,4331.79,Metals & Mining,Metals & Mining,Australia,False,F
John Middleton,71.0,4328.8,Food & Beverage,Food & Beverage,United States,False,M
Phil Ruffin,91.0,4327.35,Diversified,Diversified,United States,True,M
Maggie Hardy,60.0,4325.57,Service,Service,United States,False,F
C. Dean Metropoulos,79.0,4323.86,Food & Beverage,Food & Beverage,United States,True,M
Patrizio Bertelli,80.0,4297.64,Fashion & Retail,Fashion & Retail,Italy,True,M
Sid Bass,84.0,4297.24,Energy,Energy,United States,False,M
Willy Michel,79.0,4293.11,Healthcare,Healthcare,Switzerland,True,M
Kuok Khoon Hong,76.0,4292.97,Manufacturing,Manufacturing,Singapore,False,M
Miuccia Prada,76.0,4292.6,Fashion & Retail,Fashion & Retail,Italy,False,F
Hamilton James & family,74.0,4290.12,Finance & Investments,Finance & Investments,United States,True,M
Yeung Kin-man,73.0,4288.96,Manufacturing,Manufacturing,Hong Kong,True,M
Gustav Magnar Witzoe,32.0,4285.39,Food & Beverage,Food & Beverage,Norway,False,M
Sukanto Tanoto,76.0,4275.5,Diversified,Diversified,Indonesia,True,M
Vlad Tenev,39.0,4273.98,Finance & Investments,Finance & Investments,United States,True,M
Stewart Rahr,80.0,4271.7,Healthcare,Healthcare,United States,False,M
Michael Jordan,63.0,4270.5,Sports,Sports,United States,True,M
Falguni Nayar,63.0,4244.69,Fashion & Retail,Fashion & Retail,India,True,F
Renzo Rosso & family,70.0,4236.61,Fashion & Retail,Fashion & Retail,Italy,True,M
Pablo Legorreta,62.0,4233.27,Finance & Investments,Finance & Investments,United States,True,M
Carl Icahn,90.0,4232.2,Finance & Investments,Finance & Investments,United States,True,M
Martin Bouygues,73.0,4230.25,Construction & Engineering,Construction & Engineering,France,False,M
Nadir Godrej,75.0,4225.82,Diversified,Diversified,India,False,M
Antonio Gracias,55.0,4220.11,Finance & Investments,Finance & Investments,United States,True,M
Penny Pritzker,66.0,4218.6,Finance & Investments,Finance & Investments,United States,False,F
Richard Schulze,85.0,4215.33,Fashion & Retail,Fashion & Retail,United States,True,M
Ravi Pillai,72.0,4214.02,Construction & Engineering,Construction & Engineering,India,True,M
Jose Roberto Marinho,70.0,4210.71,Media & Entertainment,Media & Entertainment,Brazil,False,M
John Caudwell,73.0,4209.44,Telecom,Telecom,United Kingdom,True,M
Joao Roberto Marinho,72.0,4209.31,Media & Entertainment,Media & Entertainment,Brazil,False,M
Du Jiangtao & family,56.0,4198.96,Manufacturing,Manufacturing,China,True,M
Fu Liquan,58.0,4197.01,Technology,Technology,China,True,M
Maurizio Billi,68.0,4196.46,Healthcare,Healthcare,Brazil,False,M
Rodger Riney & family,80.0,4196.45,Finance & Investments,Finance & Investments,United States,True,M
Lin Chen-hai,79.0,4192.78,Real Estate,Real Estate,Taiwan,True,M
Samuel Tak Lee,87.0,4192.06,Real Estate,Real Estate,Hong Kong,False,M
Hubert Burda,86.0,4187.89,Media & Entertainment,Media & Entertainment,Germany,False,M
Yang Steven Meng,43.0,4183.87,Technology,Technology,China,True,M
David MacNeil,67.0,4183.53,Manufacturing,Manufacturing,United States,True,M
Baiju Bhatt,41.0,4182.52,Finance & Investments,Finance & Investments,United States,True,M
Alexandre Van Damme,63.0,4180.3,Food & Beverage,Food & Beverage,Belgium,False,M
Abdulla bin Ahmad Al Ghurair & family,97.0,4174.64,Diversified,Diversified,United Arab Emirates,False,M
Daniel Och,65.0,4170.0,Finance & Investments,Finance & Investments,United States,True,M
Olivier Bouygues,75.0,4167.42,Construction & Engineering,Construction & Engineering,France,False,M
Agoes Projosasmito,70.0,4164.56,Metals & Mining,Metals & Mining,Indonesia,True,M
Yang Weidong & family,57.0,4163.88,Manufacturing,Manufacturing,China,True,M
Luo Liguo & family,70.0,4163.51,Manufacturing,Manufacturing,China,True,M
Hu Kaijun,64.0,4160.95,Healthcare,Healthcare,China,True,M
Cai Kui,63.0,4155.11,Real Estate,Real Estate,China,True,M
Giuliana Benetton,88.0,4153.71,Fashion & Retail,Fashion & Retail,Italy,True,F
Luciano Benetton,90.0,4153.71,Fashion & Retail,Fashion & Retail,Italy,True,M
David Rubenstein,76.0,4153.43,Finance & Investments,Finance & Investments,United States,True,M
Roger Samuelsson,62.0,4141.14,Healthcare,Healthcare,Sweden,True,M
Adi Godrej,84.0,4139.48,Diversified,Diversified,India,False,M
Lam Wai-ying,68.0,4137.06,Manufacturing,Manufacturing,Hong Kong,True,F
Tung Chee Chen,83.0,4130.96,Logistics,Logistics,Hong Kong,False,M
Robert Johnson & family,79.0,4130.91,Sports,Sports,United States,False,M
Song Zuowen,79.0,4128.69,Diversified,Diversified,China,True,M
Mahendra Choksi & family,85.0,4112.09,Manufacturing,Manufacturing,India,False,M
Lin Jianhua,63.0,4108.83,Manufacturing,Manufacturing,China,True,M
Niels Peter Louis-Hansen,78.0,4103.98,Healthcare,Healthcare,Denmark,False,M
Todd Christopher,63.0,4100.0,Fashion & Retail,Fashion & Retail,United States,True,M
Otto Happel,78.0,4097.86,Construction & Engineering,Construction & Engineering,Germany,False,M
Lee Yeow Seng,48.0,4097.85,Real Estate,Real Estate,Malaysia,False,M
William Conway Jr,76.0,4092.65,Finance & Investments,Finance & Investments,United States,True,M
Paul Gauselmann & family,91.0,4088.57,Gambling & Casinos,Gambling & Casinos,Germany,True,M
Michael Saylor,61.0,4088.22,Technology,Technology,United States,True,M
Yakir Gabay,60.0,4087.02,Real Estate,Real Estate,Cyprus,True,M
Ugur Sahin,60.0,4085.46,Healthcare,Healthcare,Germany,True,M
Daniel Mate,62.0,4084.55,Metals & Mining,Metals & Mining,Spain,True,M
Samvel Karapetyan,60.0,4079.06,Construction & Engineering,Construction & Engineering,Russia,True,M
Charles Zegar,78.0,4075.0,Finance & Investments,Finance & Investments,United States,True,M
Bob Parsons,75.0,4073.0,Technology,Technology,United States,True,M
Han Arming Hanafia,69.0,4070.72,Technology,Technology,Indonesia,True,M
Paul-Heinz Wesjohann & family,82.0,4069.88,Food & Beverage,Food & Beverage,Germany,True,M
Miguel Fluxa Rossello,87.0,4069.72,Service,Service,Spain,False,M
Dong Zengping,,4068.45,Manufacturing,Manufacturing,China,True,M
Ivar Tollefsen,64.0,4066.41,Real Estate,Real Estate,Norway,True,M
Ji Qi,59.0,4055.37,Real Estate,Real Estate,Singapore,True,M
Gil Shwed,57.0,4049.04,Technology,Technology,Israel,True,M
John Paulson,70.0,4048.0,Finance & Investments,Finance & Investments,United States,True,M
David Blitzer,56.0,4042.0,Sports,Sports,United States,True,M
Kailashchandra Nuwal,68.0,4036.58,Manufacturing,Manufacturing,India,False,M
Norman Braman,93.0,4035.66,Automotive,Automotive,United States,True,M
N.R. Narayana Murthy,79.0,4032.53,Technology,Technology,India,True,M
Mohamed Mansour,78.0,4031.11,Diversified,Diversified,Egypt,True,M
Li Liangbin,58.0,4030.38,Manufacturing,Manufacturing,China,True,M
Jim Davis,66.0,4015.22,Service,Service,United States,True,M
Angelo Koo,60.0,4001.96,Finance & Investments,Finance & Investments,Taiwan,False,M
David Nahmad,79.0,4000.0,Fashion & Retail,Fashion & Retail,Monaco,True,M
Jack Link & family,80.0,4000.0,Food & Beverage,Food & Beverage,United States,True,M
Sunny Varkey,69.0,4000.0,Service,Service,India,False,M
Clive Palmer,72.0,3998.67,Metals & Mining,Metals & Mining,Australia,True,M
Brian Venturo,41.0,3998.62,Technology,Technology,United States,True,M
Otto Philipp Braun,48.0,3996.26,Healthcare,Healthcare,Germany,False,M
Neal Aronson,61.0,3996.2,Finance & Investments,Finance & Investments,United States,True,M
Patrick Lee,84.0,3990.3,Manufacturing,Manufacturing,Hong Kong,True,M
Jim Coulter,66.0,3990.21,Finance & Investments,Finance & Investments,United States,True,M
Fang Wei,52.0,3988.13,Manufacturing,Manufacturing,China,True,M
Julio Ponce Lerou,80.0,3987.24,Metals & Mining,Metals & Mining,Chile,True,M
Marc Lore,54.0,3979.39,Technology,Technology,United States,True,M
Wang Junmin,57.0,3979.38,Healthcare,Healthcare,China,True,M
Norbert Dentressangle & family,71.0,3975.47,Logistics,Logistics,France,True,M
Nirmal Minda,68.0,3974.3,Automotive,Automotive,India,False,M
Cui Genliang,67.0,3973.63,Manufacturing,Manufacturing,China,True,M
Patrice Motsepe,64.0,3967.44,Metals & Mining,Metals & Mining,South Africa,True,M
Nguyen Thi Phuong Thao,55.0,3965.9,Diversified,Diversified,Vietnam,True,F
Alberto Siccardi & family,82.0,3960.44,Healthcare,Healthcare,Switzerland,False,M
Patrizio Vinciarelli,79.0,3958.74,Technology,Technology,United States,True,M
Wu Kai,58.0,3956.83,Energy,Energy,China,True,M
Shi Yuzhu,63.0,3953.43,Diversified,Diversified,China,True,M
Reinold Geiger,78.0,3947.07,Fashion & Retail,Fashion & Retail,Austria,True,M
Edward DeBartolo Jr,79.0,3947.05,Real Estate,Real Estate,United States,False,M
Stewart Horejsi & family,88.0,3944.15,Finance & Investments,Finance & Investments,United States,True,M
Catharina Claas-Muhlhauser,50.0,3943.68,Manufacturing,Manufacturing,Germany,False,F
Thomas Siebel,73.0,3937.06,Technology,Technology,United States,True,M
Zhang Wanzhen,76.0,3932.94,Manufacturing,Manufacturing,China,True,M
David Wertheim,68.0,3931.46,Food & Beverage,Food & Beverage,Israel,False,M
Ray Davis,84.0,3925.39,Energy,Energy,United States,True,M
Harsh Mariwala,74.0,3922.25,Food & Beverage,Food & Beverage,India,False,M
Richard White,71.0,3916.93,Technology,Technology,Australia,True,M
Jed McCaleb,51.0,3909.0,Finance & Investments,Finance & Investments,United States,True,M
Alejandro Santo Domingo,49.0,3908.31,Food & Beverage,Food & Beverage,United States,False,M
Ronald McAulay,90.0,3892.57,Energy,Energy,Hong Kong,False,M
Amos Hostetter Jr,89.0,3892.49,Media & Entertainment,Media & Entertainment,United States,True,M
J.B. Pritzker,61.0,3890.36,Finance & Investments,Finance & Investments,United States,False,M
Margaret Baker,60.0,3885.88,Healthcare,Healthcare,United States,False,F
Geoffrey Kwok,40.0,3884.95,Real Estate,Real Estate,Hong Kong,False,M
Jonathan Kwok,34.0,3884.95,Real Estate,Real Estate,Hong Kong,False,M
Herbert Wertheim,86.0,3883.65,Finance & Investments,Finance & Investments,United States,True,M
José E. Feliciano,52.0,3876.8,Finance & Investments,Finance & Investments,United States,True,M
Mark Shoen,75.0,3876.28,Automotive,Automotive,United States,False,M
Wen-Ta Hsieh,,3873.86,Manufacturing,Manufacturing,Taiwan,True,M
Theodore Leonsis,70.0,3873.79,Sports,Sports,United States,True,M
Zhao Fenggang,60.0,3872.01,Energy,Energy,China,True,M
Steve Wynn,84.0,3864.95,Gambling & Casinos,Gambling & Casinos,United States,True,M
Ron Burkle,73.0,3864.36,Finance & Investments,Finance & Investments,United States,True,M
Kwek Leng Beng,85.0,3861.36,Diversified,Diversified,Singapore,False,M
Chan Tan Ching-fen,,3858.48,Real Estate,Real Estate,Hong Kong,False,F
Daniel Loeb,64.0,3857.5,Finance & Investments,Finance & Investments,United States,True,M
Behdad Eghbali,49.0,3856.3,Finance & Investments,Finance & Investments,United States,True,M
Ben Lamm,44.0,3853.97,Technology,Technology,United States,True,M
P.N.C. Menon,77.0,3853.92,Real Estate,Real Estate,Oman,True,M
Louis Le Duff,79.0,3832.98,Food & Beverage,Food & Beverage,France,True,M
Daniel Sundheim,49.0,3831.0,Finance & Investments,Finance & Investments,United States,True,M
Giorgio Perfetti,59.0,3830.1,Food & Beverage,Food & Beverage,Italy,False,M
Shekhar Bajaj,77.0,3828.75,Diversified,Diversified,India,False,M
Kumud Bajaj,71.0,3828.71,Diversified,Diversified,India,False,F
Niraj Bajaj,71.0,3828.71,Diversified,Diversified,India,False,M
Kavitark Ram Shriram,69.0,3828.42,Technology,Technology,United States,True,M
Vinod Rai Gupta,80.0,3826.41,Manufacturing,Manufacturing,India,False,F
