rank,person_name,gender,age,country,iso3,wb_country_name,state,city,net_worth_usd_m,net_worth_usd,source_of_wealth,industries,primary_industry,self_made,wealth_gdp_ratio_pct,wealth_per_citizen_usd,wealth_country_share_pct,sector_dominance_score,gdp_usd,population,gdp_year,forbes_uri,scrape_timestamp,birth_year
90,Vicky Safra & family,F,73.0,Greece,GRC,Greece,,Crans-Montana,26417.9,26417899000.0,Banking,Finance & Investments,Finance & Investments,False,10.309892,2538.9292,29.6071,33.5,256238371778.118,10405134.0,2024.0,vicky-safra,2026-04-10 21:32 UTC,1952.0
91,Cyrus Poonawalla,M,84.0,India,IND,India,,Pune,26179.47,26179474000.0,Vaccines,Healthcare,Healthcare,False,0.66957,18.0432,2.6454,12.2,3909891533858.08,1450935791.0,2024.0,cyrus-poonawalla,2026-04-10 21:32 UTC,1941.0
92,Rick Cohen & family,M,73.0,United States,USA,United States,New Hampshire,Keene,25934.91,25934913000.0,Warehouse automation,Technology,Technology,False,0.090205,76.2543,0.3109,23.35,28750956130731.2,340110988.0,2024.0,rick-cohen,2026-04-10 21:32 UTC,1952.0
93,Israel Englander,M,77.0,United States,USA,United States,New York,New York,25766.5,25766500000.0,Hedge funds,Finance & Investments,Finance & Investments,True,0.08962,75.7591,0.3088,23.35,28750956130731.2,340110988.0,2024.0,israel-englander,2026-04-10 21:32 UTC,1948.0
94,Suleiman Kerimov & family,M,60.0,Russia,RUS,Russian Federation,,Moscow,25662.2,25662204000.0,Gold,Finance & Investments,Finance & Investments,True,1.180503,178.7885,3.9279,17.19,2173835806671.66,143533851.0,2024.0,suleiman-kerimov-family,2026-04-10 21:32 UTC,1966.0
95,Pham Nhat Vuong,M,57.0,Vietnam,VNM,Viet Nam,,Hanoi,25634.55,25634553000.0,Diversified,Diversified,Diversified,True,5.381021,253.8384,61.7163,68.92,476388230307.175,100987686.0,2024.0,pham-nhat-vuong,2026-04-10 21:32 UTC,1968.0
96,Vladimir Lisin,M,69.0,Russia,RUS,Russian Federation,,Moscow,25532.47,25532466000.0,"Steel, transport",Metals & Mining,Metals & Mining,True,1.174535,177.8846,3.9081,17.19,2173835806671.66,143533851.0,2024.0,vladimir-lisin,2026-04-10 21:32 UTC,1956.0
97,Gina Rinehart,F,72.0,Australia,AUS,Australia,,Dalkeith,25235.2,25235202000.0,Mining,Metals & Mining,Metals & Mining,False,1.436248,927.8735,10.5978,16.13,1757022451652.83,27196812.0,2024.0,gina-rinehart,2026-04-10 21:32 UTC,1954.0
98,Phil Knight & family,M,88.0,United States,USA,United States,Oregon,Hillsboro,25156.45,25156448000.0,Nike,Fashion & Retail,Fashion & Retail,True,0.087498,73.9654,0.3015,23.35,28750956130731.2,340110988.0,2024.0,phil-knight,2026-04-10 21:32 UTC,1938.0
99,Dang Yanbao,M,53.0,China,CHN,China,Ningxia,Yinchuan,25002.83,25002828000.0,Coal,Metals & Mining,Metals & Mining,True,0.133393,17.7454,1.1713,15.26,18743803170827.2,1408975000.0,2024.0,dang-yanbao,2026-04-10 21:32 UTC,1973.0
