country_wealth_rank,country,iso3,wb_country_name,billionaire_count,total_wealth_usd_m,total_wealth_usd,mean_wealth_usd_m,median_wealth_usd_m,max_wealth_usd_m,top_billionaire,dominant_industry_by_wealth,self_made_count,self_made_ratio_pct,mean_age,country_wealth_gdp_pct,billionaires_per_million_pop,wealth_concentration_tier,gdp_per_billionaire_bn,sector_dominance_score,gdp_usd,population,gdp_year
48,Eswatini (Swaziland),SWZ,Eswatini,1,17618.62,17618625000.0,17618.62,17618.62,17618.62,Nathan Kirsh,Fashion & Retail,1,100.0,94.0,362.6063,0.8046,Extreme (≥40% of GDP),4.86,100.0,4858885840.77236,1242822.0,2024.0
49,Ukraine,UKR,Ukraine,7,17506.58,17506581000.0,2500.94,1367.76,7779.0,Rinat Akhmetov,Metals & Mining,7,100.0,55.9,9.1782,0.1849,Moderate (3–10%),27.25,57.48,190741262414.705,37860221.0,2024.0
50,Romania,ROU,Romania,6,17118.23,17118219000.0,2853.0383333333334,2244.34,5031.0,Ion Stoica,Technology,6,100.0,59.7,4.4746,0.3149,Moderate (3–10%),63.76,48.97,382564217988.866,19051804.0,2024.0
51,Finland,FIN,Finland,7,17030.88,17030876000.0,2432.9828571428575,2176.43,4423.12,Antti Herlin,Manufacturing,2,28.6,65.9,5.7017,1.2456,Moderate (3–10%),42.67,44.5,298696961297.656,5619911.0,2024.0
52,Lebanon,LBN,Lebanon,6,13921.83,13921834000.0,2320.305,1909.665,3784.72,Najib Mikati,Telecom,2,33.3,64.0,77.6195,1.0334,Extreme (≥40% of GDP),2.99,36.77,17936000000.0,5805962.0,2023.0
53,Hungary,HUN,Hungary,6,13229.43,13229434000.0,2204.905,1994.095,4957.2,Lorinc Meszaros,Diversified,6,100.0,62.2,5.9399,0.6275,Moderate (3–10%),37.12,53.14,222722738925.641,9562065.0,2024.0
54,Venezuela,VEN,"Venezuela, RB",1,11227.11,11227111000.0,11227.11,11227.11,11227.11,Juan Carlos Escotet,Finance & Investments,1,100.0,66.0,9.3713,0.0352,Moderate (3–10%),119.8,100.0,119802963257.783,28405543.0,2024.0
55,Monaco,MCO,Monaco,2,10307.0,10307000000.0,5153.5,5153.5,6307.0,Stefano Pessina,Fashion & Retail,1,50.0,81.5,92.6407,51.7719,Extreme (≥40% of GDP),5.56,100.0,11125783372.4794,38631.0,2024.0
56,St. Kitts and Nevis,KNA,St. Kitts and Nevis,2,9660.2,9660196000.0,4830.1,4830.1,8500.0,Justin Sun,Finance & Investments,2,100.0,60.0,860.6817,42.6958,Extreme (≥40% of GDP),0.56,78.86,1122388888.88889,46843.0,2024.0
57,Georgia,GEO,Georgia,2,8717.869999999999,8717870000.0,4358.9349999999995,4358.9349999999995,6017.87,Mikhail Lomtadze,Finance & Investments,2,100.0,60.0,25.4987,0.5406,Very High (20–40%),17.09,100.0,34189423544.9955,3699557.0,2024.0
58,Portugal,PRT,Portugal,1,7682.26,7682264000.0,7682.26,7682.26,7682.26,Maria Fernanda Amorim & family,Diversified,0,0.0,91.0,2.4523,0.0935,Low (<3%),313.27,100.0,313271185085.102,10694681.0,2024.0
59,Qatar,QAT,Qatar,2,6612.2,6612205000.0,3306.1,3306.1,4885.32,Hamad bin Jassim bin Jaber Al Thani,Finance & Investments,1,50.0,72.0,3.017,0.6998,Moderate (3–10%),109.58,61.41,219162637362.637,2857822.0,2024.0
60,Peru,PER,Peru,2,5832.610000000001,5832610000.0,2916.3050000000003,2916.3050000000003,4827.09,Eduardo Hochschild,Metals & Mining,1,50.0,71.0,2.0167,0.0584,Low (<3%),144.61,71.46,289221969062.941,34217848.0,2024.0
61,Bulgaria,BGR,Bulgaria,2,5826.9,5826894000.0,2913.45,2913.45,2913.45,Georgi Domuschiev,Diversified,2,100.0,55.0,5.1409,0.3105,Moderate (3–10%),56.67,100.0,113343355779.985,6441421.0,2024.0
62,Morocco,MAR,Morocco,3,4724.8,4724794000.0,1574.9333333333334,1587.71,1664.46,Othman Benjelloun & family,Finance & Investments,1,33.3,75.3,2.9418,0.0788,Low (<3%),53.54,33.42,160610994054.734,38081173.0,2024.0
63,Slovakia,SVK,Slovak Republic,2,3877.3500000000004,3877346000.0,1938.6750000000002,1938.6750000000002,2156.15,Jaroslav Hascak & family,Finance & Investments,2,100.0,57.0,2.7512,0.3689,Low (<3%),70.47,50.63,140934076532.375,5422069.0,2024.0
64,Oman,OMN,Oman,1,3853.92,3853916000.0,3853.92,3853.92,3853.92,P.N.C. Menon,Real Estate,1,100.0,77.0,3.5972,0.1893,Moderate (3–10%),107.14,100.0,107137198769.386,5281538.0,2024.0
65,Estonia,EST,Estonia,2,3681.1499999999996,3681150000.0,1840.5749999999998,1840.5749999999998,2426.45,Kristo Käärmann,Finance & Investments,2,100.0,44.0,8.5349,1.4574,Moderate (3–10%),21.57,100.0,43130419829.35,1372341.0,2024.0
66,Belize,BLZ,Belize,1,3676.86,3676858000.0,3676.86,3676.86,3676.86,Kenneth Dart,Finance & Investments,0,0.0,71.0,114.7716,2.3977,Extreme (≥40% of GDP),3.2,100.0,3203631800.0,417072.0,2024.0
67,Algeria,DZA,Algeria,1,3632.1,3632100000.0,3632.1,3632.1,3632.1,Issad Rebrab & family,Food & Beverage,1,100.0,82.0,1.3486,0.0214,Low (<3%),269.32,100.0,269322281664.773,46814308.0,2024.0
68,Guernsey,GGY,Guernsey,1,3186.3,3186298000.0,3186.3,3186.3,3186.3,Stephen Lansdown,Finance & Investments,1,100.0,73.0,91.9567,15.8665,Extreme (≥40% of GDP),3.46,100.0,3465000000.0,63026.0,2023.0
69,Zimbabwe,ZWE,Zimbabwe,1,2178.85,2178846000.0,2178.85,2178.85,2178.85,Strive Masiyiwa,Telecom,1,100.0,65.0,5.2453,0.0601,Moderate (3–10%),41.54,100.0,41539411516.4448,16634373.0,2024.0
70,Croatia,HRV,Croatia,1,2125.0,2125000000.0,2125.0,2125.0,2125.0,Vasily Anisimov,Metals & Mining,1,100.0,74.0,2.2853,0.2587,Low (<3%),92.98,100.0,92983810328.9088,3866200.0,2024.0
71,Tanzania,TZA,Tanzania,1,2093.97,2093965000.0,2093.97,2093.97,2093.97,Mohammed Dewji,Diversified,0,0.0,50.0,2.6558,0.0146,Low (<3%),78.84,100.0,78844405385.2195,68560157.0,2024.0
72,Nepal,NPL,Nepal,1,2077.33,2077327000.0,2077.33,2077.33,2077.33,Binod Chaudhary,Diversified,0,0.0,71.0,4.8406,0.0337,Moderate (3–10%),42.91,100.0,42914268286.7109,29651054.0,2024.0
73,Albania,ALB,Albania,1,1861.09,1861094000.0,1861.09,1861.09,1861.09,Samir Mane,Diversified,1,100.0,58.0,6.8811,0.4207,Moderate (3–10%),27.05,100.0,27046429296.6673,2377128.0,2024.0
74,Afghanistan,AFG,Afghanistan,1,1399.31,1399314000.0,1399.31,1399.31,1399.31,Mirwais Azizi,Real Estate,1,100.0,63.0,9.5922,0.0234,Moderate (3–10%),14.59,100.0,14588000000.0,42647492.0,2023.0
75,Pakistan,PAK,Pakistan,1,1300.0,1300000000.0,1300.0,1300.0,1300.0,Sualeh Asif,Technology,1,100.0,26.0,0.3499,0.004,Low (<3%),371.57,100.0,371570000121.266,251269164.0,2024.0
76,Liechtenstein,LIE,Liechtenstein,1,1286.53,1286528000.0,1286.53,1286.53,1286.53,Christoph Zeller,Healthcare,0,0.0,68.0,17.48,24.7219,High (10–20%),7.36,100.0,7360000000.0,40450.0,2022.0
77,Armenia,ARM,Armenia,1,1252.37,1252374000.0,1252.37,1252.37,1252.37,Ruben Vardanyan & family,Finance & Investments,1,100.0,57.0,4.8251,0.3297,Moderate (3–10%),25.96,100.0,25955275380.0321,3033500.0,2024.0
78,Luxembourg,LUX,Luxembourg,1,1195.49,1195490000.0,1195.49,1195.49,1195.49,Michael Gans & family,Diversified,0,0.0,62.0,1.2816,1.4771,Low (<3%),93.28,100.0,93279851863.4062,677012.0,2024.0
79,Barbados,BRB,Barbados,1,1028.11,1028110000.0,1028.11,1028.11,1028.11,Rihanna,Fashion & Retail,1,100.0,38.0,13.7117,3.5402,High (10–20%),7.5,100.0,7498050000.0,282467.0,2024.0
80,Iceland,ISL,Iceland,1,1000.0,1000000000.0,1000.0,1000.0,1000.0,Thor Bjorgolfsson,Diversified,1,100.0,59.0,3.0071,2.5873,Moderate (3–10%),33.26,100.0,33255181468.9382,386506.0,2024.0
