name,age,net_worth_million_usd,industries,country,self_made,gender
Ronald Wanek,84,5450.26,Manufacturing,United States,True,M
Jon Yarbrough,68,5444.38,Gambling & Casinos,United States,True,M
Joseph Grendys,64,5443.64,Food & Beverage,United States,True,M
Ken Xie & family,63,5437.4,Technology,United States,True,M
Jeremy Jacobs Sr & family,86,5430.38,Service,United States,False,M
Dinara Kulibayeva,58,5428.59,Finance & Investments,Kazakhstan,False,F
Timur Kulibayev,59,5428.59,Finance & Investments,Kazakhstan,True,M
Forrest Li,48,5406.38,Media & Entertainment,Singapore,True,M
Russell Savage,55,5405.0,Food & Beverage,United States,True,M
Bulat Utemuratov,68,5398.0,Metals & Mining,Kazakhstan,True,M
Lin Shu-hong,97,5397.71,Manufacturing,Taiwan,True,M
Lynda Resnick,83,5393.5,Food & Beverage,United States,True,F
Stewart Resnick,89,5393.5,Food & Beverage,United States,True,M
Xiao Yongming & family,61,5383.37,Diversified,China,True,M
Hortensia Herrero,75,5382.3,Fashion & Retail,Spain,False,F
Jeff Skoll,61,5380.48,Technology,United States,True,M
Mario Verrocchi,68,5367.86,Fashion & Retail,Australia,True,M
Ivan Tavrin,49,5363.86,Finance & Investments,Russia,True,M
Matthew Prince,51,5356.16,Technology,United States,True,M
Torbjorn Tornqvist,72,5354.7,Energy,Sweden,True,M
Reinhold Schmieding,71,5352.09,Healthcare,United States,True,M
Alejandro Bulgheroni,81,5348.16,Energy,Argentina,False,M
Peter Spuhler,66,5341.99,Manufacturing,Switzerland,True,M
George Economou,73,5331.23,Logistics,Greece,True,M
Thomas Tull,55,5314.5,Media & Entertainment,United States,True,M
Jean (Gigi) Pritzker,63,5303.3,Service,United States,False,F
Arkady Rotenberg,74,5290.53,Construction & Engineering,Russia,True,M
Rajiv Bajaj,59,5290.3,Diversified,India,False,M
Sanjiv Bajaj,56,5290.3,Diversified,India,False,M
Catherine Commisso & family,68,5287.14,Telecom,United States,False,F
Ian Livingstone,63,5265.2,Real Estate,United Kingdom,True,M
Richard Livingstone,61,5265.2,Real Estate,United Kingdom,True,M
Jiang Rensheng & family,72,5256.45,Healthcare,China,True,M
Murat Ulker,67,5254.7,Food & Beverage,Turkey,False,M
Jamshyd Godrej,77,5240.08,Real Estate,India,False,M
Smita Crishna Godrej,75,5240.07,Diversified,India,False,F
Chairul Tanjung,63,5229.07,Diversified,Indonesia,True,M
Jon Stryker,67,5218.01,Healthcare,United States,False,M
Josh Kushner,40,5213.0,Finance & Investments,United States,True,M
Andrei Kozitsyn,65,5209.93,Metals & Mining,Russia,True,M
Chandru Raheja,85,5191.69,Real Estate,India,False,M
Isaac Perlmutter,83,5182.95,Media & Entertainment,United States,True,M
Shaul Shani,71,5182.16,Telecom,Israel,True,M
Saban Cemil Kazanci,65,5181.77,Energy,Turkey,False,M
Joao Moreira Salles,64,5170.52,Diversified,Brazil,False,M
Walther Moreira Salles Junior,70,5170.52,Finance & Investments,Brazil,False,M
Barry Diller,84,5151.45,Media & Entertainment,United States,True,M
Pyotr Aven,71,5131.1,Finance & Investments,Russia,True,M
Takao Yasuda,76,5121.57,Fashion & Retail,Japan,True,M
Ruan Xueping,54,5112.4,Manufacturing,Hong Kong,True,M
Jeffrey Cheah,81,5110.7,Real Estate,Malaysia,True,M
Joy Alukkas,69,5104.12,Fashion & Retail,India,False,M
God Nisanov,54,5103.55,Real Estate,Russia,True,M
Zarakh Iliev,59,5103.55,Real Estate,Russia,True,M
Haryanto Tjiptodihardjo,62,5094.26,Manufacturing,Indonesia,False,M
Mangal Prabhat Lodha,70,5092.63,Real Estate,India,True,M
George Lucas,81,5088.56,Media & Entertainment,United States,True,M
Martin Haefner,72,5086.97,Technology,Switzerland,False,M
Fernand Huts,75,5081.8,Logistics,Belgium,True,M
Frank Wang,45,5076.0,Technology,China,True,M
Tim Sweeney,55,5076.0,Media & Entertainment,United States,True,M
Ruan Liping,61,5065.02,Manufacturing,Hong Kong,True,M
Jose Joao Abdalla Filho,80,5057.12,Finance & Investments,Brazil,False,M
Gaye Farncombe,74,5055.54,Media & Entertainment,Canada,False,F
Linda Campbell,76,5055.54,Media & Entertainment,Canada,False,F
Jorge Mas,63,5053.86,Construction & Engineering,United States,False,M
Lin Lairong & family,57,5038.65,Metals & Mining,China,True,M
Robert Faith,62,5035.36,Real Estate,United States,True,M
Dan Kurzius,54,5034.38,Technology,United States,True,M
Ion Stoica,61,5031.0,Technology,Romania,True,M
Matei Zaharia,41,5031.0,Technology,Romania,True,M
Lachhman Das Mittal,95,5030.05,Automotive,India,False,M
Nicolas D'Ieteren,51,5019.46,Automotive,Belgium,False,M
Thomas Hagen & family,90,5002.28,Finance & Investments,United States,False,M
Scott Cook,73,4978.22,Technology,United States,True,M
Stephen Feinberg,66,4976.0,Finance & Investments,United States,True,M
Mike Brown & family,90,4969.7,Sports,United States,False,M
Arturo Moreno,79,4965.46,Sports,United States,True,M
Park Hyeon-joo,67,4964.49,Finance & Investments,South Korea,True,M
Cho Tak Wong,79,4964.0,Manufacturing,Hong Kong,True,M
Stephen Mandel Jr,70,4963.0,Finance & Investments,United States,True,M
Lorinc Meszaros,60,4957.2,Diversified,Hungary,True,M
Vikas Oberoi,55,4954.04,Real Estate,India,False,M
Andrew Karam,44,4944.77,Technology,United States,True,M
Tsai Ming-kai,76,4939.72,Technology,Taiwan,True,M
Shen Guojun,63,4935.39,Fashion & Retail,China,True,M
Ryan Cohen,40,4933.33,Finance & Investments,Canada,True,M
Peter Cancro,68,4928.52,Food & Beverage,United States,True,M
Chen Weiliang,49,4925.12,Manufacturing,China,True,M
Georg Nemetschek & family,92,4912.09,Technology,Germany,True,M
Igor Altushkin,55,4904.33,Metals & Mining,Russia,True,M
Scott Crabill,56,4893.02,Finance & Investments,United States,True,M
Holden Spaht,51,4888.47,Finance & Investments,United States,True,M
Igor Kesaev,59,4887.39,Fashion & Retail,Russia,True,M
Hamad bin Jassim bin Jaber Al Thani,66,4885.32,Finance & Investments,Qatar,False,M
Steven Klinsky,69,4884.0,Finance & Investments,United States,True,M
Lin Tsung-Chi,85,4877.95,Manufacturing,Taiwan,True,M
Arkady Volozh,62,4870.73,Technology,Israel,True,M
Anil Agarwal & family,72,4868.04,Metals & Mining,India,True,M
Seth Boro,50,4865.2,Finance & Investments,United States,True,M
Zhu Yan & family,55,4864.55,Real Estate,China,False,F
Nithin Kamath,46,4863.24,Finance & Investments,India,True,M
Eren Ozmen,67,4856.77,Manufacturing,United States,True,F
Andrei Bokarev,59,4851.48,Manufacturing,Russia,True,M
Ronald Lauder,82,4847.66,Fashion & Retail,United States,False,M
Jiang Weiping & family,71,4846.61,Manufacturing,China,True,M
Markus Blocher,55,4844.04,Manufacturing,Switzerland,False,M
Eduardo Hochschild,62,4827.09,Metals & Mining,Peru,False,M
Eric Yuan & family,56,4826.85,Technology,United States,True,M
John Catsimatidis,77,4819.0,Energy,United States,True,M
Thomas Straumann,62,4800.61,Healthcare,Switzerland,False,M
Gail Miller & family,82,4796.85,Automotive,United States,True,F
Kevin David Lehmann,23,4786.18,Fashion & Retail,Germany,False,M
Garrett Camp,47,4784.23,Technology,Canada,True,M
Qiu Jianping & family,64,4757.87,Manufacturing,China,True,M
Henning Oldendorff,68,4753.0,Logistics,Germany,False,M
Tomasz Biernacki,53,4752.28,Fashion & Retail,Poland,True,M
Hans Peter Wild,84,4749.66,Food & Beverage,Switzerland,False,M
Xu Jinfu & family,62,4748.97,Manufacturing,China,True,M
N. Murray Edwards,66,4744.04,Energy,Canada,True,M
Daniel D'Aniello,79,4737.53,Finance & Investments,United States,True,M
Gao Guangrong,56,4735.35,Technology,China,True,M
Dan Snyder,61,4726.31,Sports,United States,True,M
Egor Kulkov,54,4710.98,Healthcare,Russia,True,M
Lee Yeow Chor,59,4709.03,Real Estate,Malaysia,False,M
George Bishop,88,4701.1,Energy,United States,True,M
Ye Chenghai & family,82,4696.18,Healthcare,Hong Kong,True,M
Julia Thiele-Schuerhoff & family,54,4692.18,Manufacturing,Germany,False,F
Erwin Franz Mueller,93,4691.52,Fashion & Retail,Germany,True,M
Abdulla Al Futtaim & family,86,4689.91,Automotive,United Arab Emirates,False,M
Drayton McLane Jr,89,4683.92,Fashion & Retail,United States,False,M
Nikolai Buinov,58,4680.73,Energy,Russia,True,M
Wendy Abrams,61,4680.24,Healthcare,United States,False,F
Hansjoerg Wyss,91,4679.97,Healthcare,Switzerland,True,M
Walter Frey,82,4676.79,Automotive,Switzerland,False,M
Theodore Rachmat,82,4676.72,Diversified,Indonesia,False,M
George Prokopiou & family,79,4675.24,Logistics,Greece,True,M
Fatih Ozmen,68,4667.33,Manufacturing,United States,True,M
Liang Zhaoxian,63,4664.03,Manufacturing,China,False,M
Jennifer Gilbert,57,4663.72,Finance & Investments,United States,False,F
Stephen Cohen,43,4651.28,Technology,United States,True,M
Dagmar Dolby & family,84,4646.35,Technology,United States,False,F
Steven Udvar-Hazy,80,4629.73,Service,United States,True,M
Wang Yanqing,60,4625.87,Manufacturing,China,True,M
Baba Kalyani,77,4615.26,Automotive,India,False,M
Michael Xie,57,4609.91,Technology,United States,True,M
Xiang Guangda,68,4605.56,Metals & Mining,China,True,M
Tom Golisano,84,4602.26,Service,United States,True,M
Michael Pieper,80,4598.69,Manufacturing,Switzerland,True,M
Eduardo Eurnekian,93,4597.94,Diversified,Argentina,True,M
Xia Zuoquan,64,4597.44,Automotive,China,True,M
John Gandel,91,4594.83,Real Estate,Australia,False,M
Scott Kapnick,67,4588.93,Finance & Investments,United States,True,M
Marc Ladreit de Lacharriere,85,4587.52,Finance & Investments,France,True,M
Li Chunan,57,4584.79,Manufacturing,China,True,M
Andrej Babis,71,4581.9,Food & Beverage,Czech Republic,True,M
Joe Mansueto,69,4573.63,Finance & Investments,United States,True,M
Anne Beaufour,62,4571.85,Healthcare,France,False,F
Akira Mori & family,89,4563.85,Real Estate,Japan,False,M
David Filo,60,4559.43,Technology,United States,True,M
Eleanor Butt Crook & family,93,4558.6,Fashion & Retail,United States,False,F
Abhay Firodia,81,4550.6,Automotive,India,False,M
Eric Lefkofsky,56,4542.28,Technology,United States,True,M
Carlos Hank Rhon & family,78,4540.24,Diversified,Mexico,False,M
Helen Johnson-Leipold,69,4534.55,Manufacturing,United States,False,F
Laurence Graff & family,87,4529.0,Fashion & Retail,United Kingdom,True,M
Friede Springer,83,4527.93,Media & Entertainment,Germany,False,F
Rupert Johnson Jr,85,4519.26,Finance & Investments,United States,False,M
Maria-Elisabeth Schaeffler-Thumann,84,4511.69,Automotive,Germany,False,F
Ben Chestnut,51,4504.89,Technology,United States,True,M
Somurai Jaruphnit,72,4500.8,Diversified,Thailand,False,F
Beatriz Davila de Santo Domingo,87,4499.05,Food & Beverage,Colombia,False,F
Fabien Pinckaers,47,4498.72,Technology,Belgium,True,M
Yu Renrong,60,4473.2,Manufacturing,China,True,M
James Duff,65,4472.2,Diversified,United States,True,M
Li Xiang,44,4460.37,Automotive,China,True,M
Li Min,60,4455.26,Technology,China,True,M
Thomas Duff,69,4454.6,Diversified,United States,True,M
Carlo Fidani,71,4452.8,Real Estate,Canada,False,M
Lynn Schusterman & family,87,4448.82,Energy,United States,False,F
Bernard Fraisse & family,69,4442.71,Healthcare,France,True,M
Jason Jiang,53,4437.14,Media & Entertainment,Singapore,True,M
Rajiv Jain,58,4429.68,Finance & Investments,United States,True,M
Anthony Pritzker,65,4426.23,Service,United States,False,M
Antti Herlin,69,4423.12,Manufacturing,Finland,False,M
Andreas Martinos & family,70,4422.96,Logistics,Greece,True,M
Winifred J. Marquart,67,4420.08,Manufacturing,United States,False,F
Albert Chao & family,76,4419.08,Manufacturing,United States,True,M
Dorothy Chao Jenkins & family,80,4419.08,Manufacturing,United States,False,F
James Chao & family,78,4419.08,Manufacturing,United States,True,M
H. Fisk Johnson,67,4409.3,Manufacturing,United States,False,M
Anna Katharina Viessmann,40,4407.7,Manufacturing,Germany,False,F
Miao Hangen,60,4400.74,Diversified,China,True,M
S. Curtis Johnson,70,4395.27,Manufacturing,United States,False,M
Aristotelis Mistakidis,64,4391.27,Metals & Mining,Greece,True,M
Paul Foster,68,4387.44,Energy,United States,True,M
Erik Selin,58,4371.84,Real Estate,Sweden,True,M
Donald Sterling,92,4367.52,Real Estate,United States,True,M
Nancy Mills Barnett,62,4365.3,Healthcare,United States,False,F
Zhang Jianzhong,60,4361.74,Manufacturing,China,True,M
Pansy Ho,63,4338.27,Gambling & Casinos,Hong Kong,False,F
Wang Jianlin,71,4337.77,Real Estate,China,True,M
Byron Trott,67,4337.0,Finance & Investments,United States,True,M
Angela Bennett,82,4331.79,Metals & Mining,Australia,False,F
John Middleton,71,4328.8,Food & Beverage,United States,False,M
Phil Ruffin,91,4327.35,Diversified,United States,True,M
Maggie Hardy,60,4325.57,Service,United States,False,F
C. Dean Metropoulos,79,4323.86,Food & Beverage,United States,True,M
Patrizio Bertelli,80,4297.64,Fashion & Retail,Italy,True,M
Sid Bass,84,4297.24,Energy,United States,False,M
Willy Michel,79,4293.11,Healthcare,Switzerland,True,M
Kuok Khoon Hong,76,4292.97,Manufacturing,Singapore,False,M
Miuccia Prada,76,4292.6,Fashion & Retail,Italy,False,F
Hamilton James & family,74,4290.12,Finance & Investments,United States,True,M
Yeung Kin-man,73,4288.96,Manufacturing,Hong Kong,True,M
Gustav Magnar Witzoe,32,4285.39,Food & Beverage,Norway,False,M
Sukanto Tanoto,76,4275.5,Diversified,Indonesia,True,M
Vlad Tenev,39,4273.98,Finance & Investments,United States,True,M
Stewart Rahr,80,4271.7,Healthcare,United States,False,M
Michael Jordan,63,4270.5,Sports,United States,True,M
Falguni Nayar,63,4244.69,Fashion & Retail,India,True,F
Renzo Rosso & family,70,4236.61,Fashion & Retail,Italy,True,M
Pablo Legorreta,62,4233.27,Finance & Investments,United States,True,M
Carl Icahn,90,4232.2,Finance & Investments,United States,True,M
Martin Bouygues,73,4230.25,Construction & Engineering,France,False,M
Nadir Godrej,75,4225.82,Diversified,India,False,M
Antonio Gracias,55,4220.11,Finance & Investments,United States,True,M
Penny Pritzker,66,4218.6,Finance & Investments,United States,False,F
Richard Schulze,85,4215.33,Fashion & Retail,United States,True,M
Ravi Pillai,72,4214.02,Construction & Engineering,India,True,M
Jose Roberto Marinho,70,4210.71,Media & Entertainment,Brazil,False,M
John Caudwell,73,4209.44,Telecom,United Kingdom,True,M
Joao Roberto Marinho,72,4209.31,Media & Entertainment,Brazil,False,M
Du Jiangtao & family,56,4198.96,Manufacturing,China,True,M
Fu Liquan,58,4197.01,Technology,China,True,M
Maurizio Billi,68,4196.46,Healthcare,Brazil,False,M
Rodger Riney & family,80,4196.45,Finance & Investments,United States,True,M
Lin Chen-hai,79,4192.78,Real Estate,Taiwan,True,M
Samuel Tak Lee,87,4192.06,Real Estate,Hong Kong,False,M
Hubert Burda,86,4187.89,Media & Entertainment,Germany,False,M
Yang Steven Meng,43,4183.87,Technology,China,True,M
David MacNeil,67,4183.53,Manufacturing,United States,True,M
Baiju Bhatt,41,4182.52,Finance & Investments,United States,True,M
Alexandre Van Damme,63,4180.3,Food & Beverage,Belgium,False,M
Abdulla bin Ahmad Al Ghurair & family,97,4174.64,Diversified,United Arab Emirates,False,M
Daniel Och,65,4170.0,Finance & Investments,United States,True,M
Olivier Bouygues,75,4167.42,Construction & Engineering,France,False,M
Agoes Projosasmito,70,4164.56,Metals & Mining,Indonesia,True,M
Yang Weidong & family,57,4163.88,Manufacturing,China,True,M
Luo Liguo & family,70,4163.51,Manufacturing,China,True,M
Hu Kaijun,64,4160.95,Healthcare,China,True,M
Cai Kui,63,4155.11,Real Estate,China,True,M
Giuliana Benetton,88,4153.71,Fashion & Retail,Italy,True,F
Luciano Benetton,90,4153.71,Fashion & Retail,Italy,True,M
David Rubenstein,76,4153.43,Finance & Investments,United States,True,M
Roger Samuelsson,62,4141.14,Healthcare,Sweden,True,M
Adi Godrej,84,4139.48,Diversified,India,False,M
Lam Wai-ying,68,4137.06,Manufacturing,Hong Kong,True,F
Tung Chee Chen,83,4130.96,Logistics,Hong Kong,False,M
Robert Johnson & family,79,4130.91,Sports,United States,False,M
Song Zuowen,79,4128.69,Diversified,China,True,M
Mahendra Choksi & family,85,4112.09,Manufacturing,India,False,M
Lin Jianhua,63,4108.83,Manufacturing,China,True,M
Niels Peter Louis-Hansen,78,4103.98,Healthcare,Denmark,False,M
Todd Christopher,63,4100.0,Fashion & Retail,United States,True,M
Otto Happel,78,4097.86,Construction & Engineering,Germany,False,M
Lee Yeow Seng,48,4097.85,Real Estate,Malaysia,False,M
William Conway Jr,76,4092.65,Finance & Investments,United States,True,M
Paul Gauselmann & family,91,4088.57,Gambling & Casinos,Germany,True,M
Michael Saylor,61,4088.22,Technology,United States,True,M
Yakir Gabay,60,4087.02,Real Estate,Cyprus,True,M
Ugur Sahin,60,4085.46,Healthcare,Germany,True,M
Daniel Mate,62,4084.55,Metals & Mining,Spain,True,M
Samvel Karapetyan,60,4079.06,Construction & Engineering,Russia,True,M
Charles Zegar,78,4075.0,Finance & Investments,United States,True,M
Bob Parsons,75,4073.0,Technology,United States,True,M
Han Arming Hanafia,69,4070.72,Technology,Indonesia,True,M
Paul-Heinz Wesjohann & family,82,4069.88,Food & Beverage,Germany,True,M
Miguel Fluxa Rossello,87,4069.72,Service,Spain,False,M
Dong Zengping,65,4068.45,Manufacturing,China,True,M
Ivar Tollefsen,64,4066.41,Real Estate,Norway,True,M
Ji Qi,59,4055.37,Real Estate,Singapore,True,M
Gil Shwed,57,4049.04,Technology,Israel,True,M
John Paulson,70,4048.0,Finance & Investments,United States,True,M
David Blitzer,56,4042.0,Sports,United States,True,M
Kailashchandra Nuwal,68,4036.58,Manufacturing,India,False,M
Norman Braman,93,4035.66,Automotive,United States,True,M
N.R. Narayana Murthy,79,4032.53,Technology,India,True,M
Mohamed Mansour,78,4031.11,Diversified,Egypt,True,M
Li Liangbin,58,4030.38,Manufacturing,China,True,M
Jim Davis,66,4015.22,Service,United States,True,M
Angelo Koo,60,4001.96,Finance & Investments,Taiwan,False,M
David Nahmad,79,4000.0,Fashion & Retail,Monaco,True,M
Jack Link & family,80,4000.0,Food & Beverage,United States,True,M
Sunny Varkey,69,4000.0,Service,India,False,M
Clive Palmer,72,3998.67,Metals & Mining,Australia,True,M
Brian Venturo,41,3998.62,Technology,United States,True,M
Otto Philipp Braun,48,3996.26,Healthcare,Germany,False,M
Neal Aronson,61,3996.2,Finance & Investments,United States,True,M
Patrick Lee,84,3990.3,Manufacturing,Hong Kong,True,M
Jim Coulter,66,3990.21,Finance & Investments,United States,True,M
Fang Wei,52,3988.13,Manufacturing,China,True,M
Julio Ponce Lerou,80,3987.24,Metals & Mining,Chile,True,M
Marc Lore,54,3979.39,Technology,United States,True,M
Wang Junmin,57,3979.38,Healthcare,China,True,M
Norbert Dentressangle & family,71,3975.47,Logistics,France,True,M
Nirmal Minda,68,3974.3,Automotive,India,False,M
Cui Genliang,67,3973.63,Manufacturing,China,True,M
Patrice Motsepe,64,3967.44,Metals & Mining,South Africa,True,M
Nguyen Thi Phuong Thao,55,3965.9,Diversified,Vietnam,True,F
Alberto Siccardi & family,82,3960.44,Healthcare,Switzerland,False,M
Patrizio Vinciarelli,79,3958.74,Technology,United States,True,M
Wu Kai,58,3956.83,Energy,China,True,M
Shi Yuzhu,63,3953.43,Diversified,China,True,M
Reinold Geiger,78,3947.07,Fashion & Retail,Austria,True,M
Edward DeBartolo Jr,79,3947.05,Real Estate,United States,False,M
Stewart Horejsi & family,88,3944.15,Finance & Investments,United States,True,M
Catharina Claas-Muhlhauser,50,3943.68,Manufacturing,Germany,False,F
Thomas Siebel,73,3937.06,Technology,United States,True,M
Zhang Wanzhen,76,3932.94,Manufacturing,China,True,M
David Wertheim,68,3931.46,Food & Beverage,Israel,False,M
Ray Davis,84,3925.39,Energy,United States,True,M
Harsh Mariwala,74,3922.25,Food & Beverage,India,False,M
Richard White,71,3916.93,Technology,Australia,True,M
Jed McCaleb,51,3909.0,Finance & Investments,United States,True,M
Alejandro Santo Domingo,49,3908.31,Food & Beverage,United States,False,M
Ronald McAulay,90,3892.57,Energy,Hong Kong,False,M
Amos Hostetter Jr,89,3892.49,Media & Entertainment,United States,True,M
J.B. Pritzker,61,3890.36,Finance & Investments,United States,False,M
Margaret Baker,60,3885.88,Healthcare,United States,False,F
Geoffrey Kwok,40,3884.95,Real Estate,Hong Kong,False,M
Jonathan Kwok,34,3884.95,Real Estate,Hong Kong,False,M
Herbert Wertheim,86,3883.65,Finance & Investments,United States,True,M
José E. Feliciano,52,3876.8,Finance & Investments,United States,True,M
Mark Shoen,75,3876.28,Automotive,United States,False,M
Wen-Ta Hsieh,65,3873.86,Manufacturing,Taiwan,True,M
Theodore Leonsis,70,3873.79,Sports,United States,True,M
Zhao Fenggang,60,3872.01,Energy,China,True,M
Steve Wynn,84,3864.95,Gambling & Casinos,United States,True,M
Ron Burkle,73,3864.36,Finance & Investments,United States,True,M
Kwek Leng Beng,85,3861.36,Diversified,Singapore,False,M
Chan Tan Ching-fen,65,3858.48,Real Estate,Hong Kong,False,F
Daniel Loeb,64,3857.5,Finance & Investments,United States,True,M
Behdad Eghbali,49,3856.3,Finance & Investments,United States,True,M
Ben Lamm,44,3853.97,Technology,United States,True,M
P.N.C. Menon,77,3853.92,Real Estate,Oman,True,M
Louis Le Duff,79,3832.98,Food & Beverage,France,True,M
Daniel Sundheim,49,3831.0,Finance & Investments,United States,True,M
Giorgio Perfetti,59,3830.1,Food & Beverage,Italy,False,M
Shekhar Bajaj,77,3828.75,Diversified,India,False,M
Kumud Bajaj,71,3828.71,Diversified,India,False,F
Niraj Bajaj,71,3828.71,Diversified,India,False,M
Kavitark Ram Shriram,69,3828.42,Technology,United States,True,M
Vinod Rai Gupta,80,3826.41,Manufacturing,India,False,F
Mitchell Rales,69,3819.51,Manufacturing,United States,True,M
Dan Olsson,79,3818.64,Diversified,Sweden,False,M
Martin Ebner,80,3817.93,Finance & Investments,Switzerland,True,M
Stephen Jarislowsky,100,3815.43,Finance & Investments,Canada,True,M
Ira Rennert,91,3813.8,Finance & Investments,United States,True,M
Meg Whitman,69,3809.36,Technology,United States,True,F
David Baszucki,63,3807.19,Technology,United States,True,M
Kim Beom-su,60,3792.54,Technology,South Korea,True,M
Pat Stryker,70,3787.87,Healthcare,United States,False,F
Masahiro Miki,70,3786.95,Fashion & Retail,Japan,True,M
Liu Sheng,55,3786.95,Manufacturing,China,True,M
Najib Mikati,70,3784.72,Telecom,Lebanon,True,M
Taha Mikati,81,3784.72,Telecom,Lebanon,True,M
Cameron Adams,46,3780.0,Technology,Australia,True,M
Scott Shleifer,48,3780.0,Finance & Investments,United States,True,M
Danielle Bellon & family,86,3778.25,Service,France,False,F
Erman Ilicak,58,3778.01,Construction & Engineering,Turkey,True,M
Weili Dai,64,3767.78,Technology,United States,True,F
Anand Mahindra,70,3762.0,Diversified,India,False,M
Lawrence Stroll,66,3751.95,Fashion & Retail,Canada,True,M
John Fisher,64,3751.5,Fashion & Retail,United States,False,M
Kommer Damen,82,3747.99,Manufacturing,Netherlands,False,M
August Troendle,70,3741.22,Healthcare,United States,True,M
Danny Harris,53,3728.71,Fashion & Retail,United States,True,M
Dennis Bastas,59,3727.98,Healthcare,Australia,True,M
Brunello Cucinelli & family,72,3719.81,Fashion & Retail,Italy,True,M
Alceu Elias Feldmann & family,76,3717.86,Energy,Brazil,True,M
Ralph Dommermuth,62,3716.1,Technology,Germany,True,M
Robert Clark,67,3713.32,Construction & Engineering,United States,True,M
Maggie Gu,44,3710.0,Fashion & Retail,China,True,F
Molly Miao,40,3710.0,Fashion & Retail,China,True,F
Ren Xiaoqing,45,3710.0,Fashion & Retail,China,True,M
Chao Chung-Hsin,71,3708.52,Manufacturing,Taiwan,True,M
Liang Feng,57,3706.81,Manufacturing,China,True,M
Liu Wei,39,3700.0,Technology,China,True,M
Marco DeGeorge,52,3692.5,Fashion & Retail,United States,True,M
Fernando Chico Pardo,74,3691.43,Service,Mexico,True,M
Sol Daurella,60,3690.14,Food & Beverage,Spain,False,F
Kenneth Dart,71,3676.86,Finance & Investments,Belize,False,M
Romano Minozzi,91,3676.75,Diversified,Italy,True,M
Adam Kwok,43,3673.24,Real Estate,Hong Kong,False,M
Qian Dongqi,68,3671.34,Manufacturing,China,True,M
Takahisa Takahara,64,3669.66,Fashion & Retail,Japan,False,M
James Packer,58,3669.01,Finance & Investments,Australia,False,M
Ricardo Salinas Pliego & family,70,3661.19,Fashion & Retail,Mexico,False,M
Wang Junlin & family,63,3642.69,Food & Beverage,China,True,M
Spiro Latsis & family,79,3642.37,Diversified,Greece,False,M
Roman Trotsenko,55,3640.61,Logistics,Russia,True,M
Peter Hargreaves,79,3638.05,Finance & Investments,United Kingdom,True,M
Remo Ruffini,64,3637.97,Fashion & Retail,Italy,True,M
Hiroshi Mikitani,61,3636.61,Fashion & Retail,Japan,True,M
Barry Zekelman,59,3634.0,Manufacturing,Canada,False,M
Issad Rebrab & family,82,3632.1,Food & Beverage,Algeria,True,M
Hemant Taneja,51,3632.0,Technology,United States,True,M
Panagiotis Tsakos & family,90,3631.33,Logistics,Greece,True,M
Cai Dongchen,73,3620.06,Healthcare,China,True,M
G. M. Rao,75,3616.43,Logistics,India,True,M
Vladimir Litvinenko & family,70,3616.41,Manufacturing,Russia,True,M
Leon G. Cooperman,83,3614.0,Finance & Investments,United States,True,M
Sun Weijie,62,3608.16,Manufacturing,China,True,M
Antonio Del Valle Ruiz & family,87,3604.96,Manufacturing,Mexico,True,M
Nick Caporella,90,3603.46,Food & Beverage,United States,True,M
Zhou Jianping,65,3593.58,Fashion & Retail,China,True,M
Shlomo Eliahu,90,3591.91,Finance & Investments,Israel,True,M
Prasert Prasarttong-Osoth,93,3590.86,Healthcare,Thailand,True,M
Yao Liangsong,61,3590.27,Manufacturing,China,True,M
Liora Ofer,72,3588.92,Finance & Investments,Israel,False,F
Martua Sitorus,66,3584.44,Manufacturing,Indonesia,True,M
Hilton Schlosberg & family,73,3583.61,Food & Beverage,United Kingdom,True,M
Jean Coutu & family,98,3583.42,Fashion & Retail,Canada,True,M
Fabrizio Di Amato,62,3582.84,Construction & Engineering,Italy,True,M
Brian Acton,54,3581.0,Technology,United States,True,M
Lorenzo Fertitta,57,3578.8,Sports,United States,False,M
Juan Abello,84,3577.12,Finance & Investments,Spain,False,M
Wolfgang Leitner,73,3571.6,Construction & Engineering,Austria,True,M
Li Zhenguo & family,58,3571.06,Manufacturing,China,True,M
William Wrigley Jr,62,3567.95,Food & Beverage,United States,False,M
Syed Mokhtar AlBukhary,74,3565.81,Construction & Engineering,Malaysia,True,M
Jeff Rothschild,71,3563.92,Technology,United States,True,M
Jonathan Nelson,69,3563.36,Finance & Investments,United States,True,M
Frank Fertitta III,64,3562.96,Sports,United States,False,M
Hans Georg Naeder & family,64,3562.25,Manufacturing,Germany,False,M
Travis Kalanick,49,3562.0,Technology,United States,True,M
Isabella Seràgnoli,80,3548.72,Manufacturing,Italy,False,F
Marc Fielmann,36,3543.84,Manufacturing,Germany,False,M
April Goh,35,3538.99,Manufacturing,Singapore,False,F
Hu Rongda & family,66,3538.57,Manufacturing,China,True,M
Hong Jie,58,3534.19,Manufacturing,China,True,M
Palmer Luckey,33,3532.88,Technology,United States,True,M
C.C. Leung,76,3526.7,Technology,Taiwan,True,M
Kentaro Ogawa,77,3526.49,Food & Beverage,Japan,True,M
Ramon Ang,72,3524.25,Food & Beverage,Philippines,True,M
Klaus-Peter Schulenberg,74,3521.62,Service,Germany,True,M
Koos Bekker,73,3515.19,Media & Entertainment,South Africa,True,M
Eduard Schleicher,70,3503.16,Manufacturing,Germany,False,M
